_id,Preço da Tabela FIPE,Estimativa de Preço do Site,"Cliente compareceu para a inspeção? (1=Sim, 0=Não)",Preço Oferecido pelo carro,"Cliente Vendeu o carro para a InstaCarro? (1=Sim, 0=Não)"
66b8323a7a9517cab6084c44,25000,20000,1,20567,1
66b8323a7a9517cab6084c4c,25000,20003,1,19419,0
66b8323a7a9517cab6084c4d,25000,20003,1,20823,0
66b8323a7a9517cab6084c52,25000,20006,1,19553,0
66b8323a7a9517cab6084c55,25000,20008,1,20387,1
66b8323a7a9517cab6084c56,25000,20008,1,19467,0
66b8323a7a9517cab6084c5a,25000,20010,1,19475,0
66b8323a7a9517cab6084c5d,25000,20012,1,18797,0
66b8323a7a9517cab6084c63,25000,20014,1,20221,0
66b8323a7a9517cab6084c66,25000,20015,1,19892,0
66b8323a7a9517cab6084c67,25000,20015,1,20058,0
66b8323a7a9517cab6084c68,25000,20015,1,20655,0
66b8323a7a9517cab6084c70,25000,20017,1,19219,0
66b8323a7a9517cab6084c71,25000,20017,1,19764,0
66b8323a7a9517cab6084c7b,25000,20020,1,19001,0
66b8323a7a9517cab6084c7c,25000,20020,1,20765,0
66b8323a7a9517cab6084c83,25000,20024,1,18942,1
66b8323a7a9517cab6084c88,25000,20030,1,18829,0
66b8323a7a9517cab6084c8c,25000,20033,1,19041,1
66b8323a7a9517cab6084c8f,25000,20036,1,19907,0
66b8323a7a9517cab6084c93,25000,20037,1,20932,1
66b8323a7a9517cab6084c96,25000,20038,1,19671,1
66b8323a7a9517cab6084c97,25000,20038,1,20521,1
66b8323a7a9517cab6084ca2,25000,20042,1,19826,0
66b8323a7a9517cab6084ca6,25000,20044,1,19214,0
66b8323a7a9517cab6084ca7,25000,20044,1,19337,0
66b8323a7a9517cab6084ca8,25000,20045,1,19424,0
66b8323a7a9517cab6084ca9,25000,20045,1,20869,0
66b8323a7a9517cab6084cab,25000,20046,1,19835,0
66b8323a7a9517cab6084caf,25000,20047,1,20174,1
66b8323a7a9517cab6084cb0,25000,20047,1,19296,0
66b8323a7a9517cab6084cb4,25000,20049,1,19292,0
66b8323a7a9517cab6084cb5,25000,20051,1,19154,0
66b8323a7a9517cab6084cba,25000,20052,1,18516,0
66b8323a7a9517cab6084cbb,25000,20052,1,19590,0
66b8323a7a9517cab6084cbd,25000,20053,1,19174,0
66b8323a7a9517cab6084cbe,25000,20053,1,20751,0
66b8323a7a9517cab6084cc2,25000,20056,1,18870,0
66b8323a7a9517cab6084cc5,25000,20057,1,18526,0
66b8323a7a9517cab6084cd0,25000,20062,1,19130,1
66b8323a7a9517cab6084cd1,25000,20062,1,19701,1
66b8323a7a9517cab6084cd2,25000,20062,1,19971,0
66b8323a7a9517cab6084cd3,25000,20062,1,20494,0
66b8323a7a9517cab6084cd5,25000,20064,1,20470,0
66b8323a7a9517cab6084cdb,25000,20065,1,18859,0
66b8323a7a9517cab6084cdc,25000,20065,1,19047,0
66b8323a7a9517cab6084cdd,25000,20065,1,19290,0
66b8323a7a9517cab6084ce6,25000,20068,1,18701,1
66b8323a7a9517cab6084ce7,25000,20068,1,20433,1
66b8323a7a9517cab6084ced,25000,20071,1,18840,0
66b8323a7a9517cab6084cee,25000,20071,1,20841,0
66b8323a7a9517cab6084cf5,25000,20073,1,20509,0
66b8323a7a9517cab6084cf8,25000,20076,1,18802,0
66b8323a7a9517cab6084cfd,25000,20077,1,19325,0
66b8323a7a9517cab6084cff,25000,20078,1,20871,1
66b8323a7a9517cab6084d05,25000,20081,1,18853,0
66b8323a7a9517cab6084d09,25000,20082,1,20387,0
