_id,Preço da Tabela FIPE,Estimativa de Preço do Site,"Cliente compareceu para a inspeção? (1=Sim, 0=Não)","Cliente Vendeu o carro para a InstaCarro? (1=Sim, 0=Não)"
66b832227a9517cab6080be1,25000,20000,0,0
66b832227a9517cab6080be2,25000,20000,0,0
66b832227a9517cab6080be3,25000,20000,0,0
66b832227a9517cab6080be4,25000,20001,0,0
66b832227a9517cab6080be5,25000,20001,0,0
66b832227a9517cab6080be6,25000,20002,0,0
66b832227a9517cab6080be7,25000,20002,0,0
66b832227a9517cab6080bea,25000,20003,0,0
66b832227a9517cab6080beb,25000,20003,0,0
66b832227a9517cab6080bec,25000,20004,0,0
66b832227a9517cab6080bed,25000,20004,0,0
66b832227a9517cab6080bef,25000,20006,0,0
66b832227a9517cab6080bf0,25000,20006,0,0
66b832227a9517cab6080bf3,25000,20008,0,0
66b832227a9517cab6080bf4,25000,20009,0,0
66b832227a9517cab6080bf5,25000,20009,0,0
66b832227a9517cab6080bf7,25000,20010,0,0
66b832227a9517cab6080bf8,25000,20010,0,0
66b832227a9517cab6080bfa,25000,20012,0,0
66b832227a9517cab6080bfb,25000,20012,0,0
66b832227a9517cab6080bfc,25000,20012,0,0
66b832227a9517cab6080bfd,25000,20012,0,0
66b832227a9517cab6080bfe,25000,20013,0,0
66b832227a9517cab6080c00,25000,20014,0,0
66b832227a9517cab6080c01,25000,20014,0,0
66b832227a9517cab6080c05,25000,20015,0,0
66b832227a9517cab6080c06,25000,20015,0,0
66b832227a9517cab6080c07,25000,20015,0,0
66b832227a9517cab6080c08,25000,20016,0,0
66b832227a9517cab6080c09,25000,20016,0,0
66b832227a9517cab6080c0a,25000,20016,0,0
66b832227a9517cab6080c0b,25000,20016,0,0
66b832227a9517cab6080c0e,25000,20017,0,0
66b832227a9517cab6080c0f,25000,20017,0,0
66b832227a9517cab6080c10,25000,20017,0,0
66b832227a9517cab6080c11,25000,20017,0,0
66b832227a9517cab6080c12,25000,20017,0,0
66b832227a9517cab6080c13,25000,20018,0,0
66b832227a9517cab6080c14,25000,20018,0,0
66b832227a9517cab6080c15,25000,20019,0,0
66b832227a9517cab6080c16,25000,20019,0,0
66b832227a9517cab6080c19,25000,20020,0,0
66b832227a9517cab6080c1a,25000,20021,0,0
66b832227a9517cab6080c1b,25000,20022,0,0
66b832227a9517cab6080c1c,25000,20022,0,0
66b832227a9517cab6080c1d,25000,20023,0,0
66b832227a9517cab6080c1e,25000,20023,0,0
66b832227a9517cab6080c20,25000,20024,0,0
66b832227a9517cab6080c21,25000,20027,0,0
66b832227a9517cab6080c22,25000,20028,0,0
66b832227a9517cab6080c23,25000,20029,0,0
66b832227a9517cab6080c25,25000,20030,0,0
66b832227a9517cab6080c26,25000,20031,0,0
66b832227a9517cab6080c27,25000,20032,0,0
66b832227a9517cab6080c29,25000,20033,0,0
66b832227a9517cab6080c2a,25000,20035,0,0
66b832227a9517cab6080c2c,25000,20036,0,0
66b832227a9517cab6080c2d,25000,20036,0,0
66b832227a9517cab6080c2e,25000,20036,0,0
66b832227a9517cab6080c30,25000,20037,0,0
66b832227a9517cab6080c31,25000,20037,0,0
66b832227a9517cab6080c34,25000,20038,0,0
66b832227a9517cab6080c35,25000,20039,0,0
66b832227a9517cab6080c36,25000,20039,0,0
66b832227a9517cab6080c37,25000,20040,0,0
66b832227a9517cab6080c38,25000,20040,0,0
66b832227a9517cab6080c39,25000,20040,0,0
66b832227a9517cab6080c3a,25000,20041,0,0
66b832227a9517cab6080c3b,25000,20041,0,0
66b832227a9517cab6080c3c,25000,20041,0,0
66b832227a9517cab6080c3d,25000,20041,0,0
66b832227a9517cab6080c3f,25000,20042,0,0
66b832227a9517cab6080c40,25000,20042,0,0
66b832227a9517cab6080c41,25000,20043,0,0
66b832227a9517cab6080c46,25000,20045,0,0
66b832227a9517cab6080c48,25000,20046,0,0
66b832227a9517cab6080c49,25000,20046,0,0
66b832227a9517cab6080c4a,25000,20046,0,0
66b832227a9517cab6080c4d,25000,20047,0,0
66b832227a9517cab6080c4e,25000,20048,0,0
66b832227a9517cab6080c4f,25000,20048,0,0
66b832227a9517cab6080c52,25000,20051,0,0
66b832227a9517cab6080c53,25000,20051,0,0
66b832227a9517cab6080c54,25000,20051,0,0
66b832227a9517cab6080c55,25000,20051,0,0
66b832227a9517cab6080c58,25000,20052,0,0
66b832227a9517cab6080c5b,25000,20053,0,0
66b832227a9517cab6080c5c,25000,20054,0,0
66b832227a9517cab6080c5d,25000,20055,0,0
66b832227a9517cab6080c5f,25000,20056,0,0
66b832227a9517cab6080c60,25000,20056,0,0
66b832227a9517cab6080c62,25000,20057,0,0
66b832227a9517cab6080c63,25000,20057,0,0
66b832227a9517cab6080c64,25000,20057,0,0
66b832227a9517cab6080c65,25000,20057,0,0
66b832227a9517cab6080c66,25000,20059,0,0
66b832227a9517cab6080c67,25000,20060,0,0
66b832227a9517cab6080c68,25000,20060,0,0
66b832227a9517cab6080c69,25000,20060,0,0
66b832227a9517cab6080c6a,25000,20061,0,0
66b832227a9517cab6080c6b,25000,20061,0,0
66b832227a9517cab6080c70,25000,20062,0,0
66b832227a9517cab6080c72,25000,20064,0,0
66b832227a9517cab6080c73,25000,20064,0,0
66b832227a9517cab6080c74,25000,20064,0,0
66b832227a9517cab6080c75,25000,20064,0,0
66b832227a9517cab6080c76,25000,20064,0,0
66b832227a9517cab6080c7a,25000,20065,0,0
66b832227a9517cab6080c7b,25000,20066,0,0
66b832227a9517cab6080c7c,25000,20066,0,0
66b832227a9517cab6080c7d,25000,20066,0,0
66b832227a9517cab6080c7e,25000,20067,0,0
66b832227a9517cab6080c7f,25000,20067,0,0
66b832227a9517cab6080c80,25000,20067,0,0
66b832227a9517cab6080c81,25000,20067,0,0
66b832227a9517cab6080c84,25000,20068,0,0
66b832227a9517cab6080c85,25000,20068,0,0
66b832227a9517cab6080c86,25000,20068,0,0
66b832227a9517cab6080c87,25000,20068,0,0
66b832227a9517cab6080c88,25000,20069,0,0
66b832227a9517cab6080c8b,25000,20071,0,0
66b832227a9517cab6080c8c,25000,20071,0,0
66b832227a9517cab6080c8d,25000,20072,0,0
66b832227a9517cab6080c8e,25000,20072,0,0
66b832227a9517cab6080c8f,25000,20072,0,0
66b832227a9517cab6080c90,25000,20072,0,0
66b832227a9517cab6080c92,25000,20074,0,0
66b832227a9517cab6080c93,25000,20074,0,0
66b832227a9517cab6080c95,25000,20076,0,0
66b832227a9517cab6080c96,25000,20076,0,0
66b832227a9517cab6080c97,25000,20076,0,0
66b832227a9517cab6080c98,25000,20076,0,0
66b832227a9517cab6080c9a,25000,20077,0,0
66b832227a9517cab6080c9c,25000,20078,0,0
66b832227a9517cab6080c9d,25000,20079,0,0
66b832227a9517cab6080c9e,25000,20079,0,0
66b832227a9517cab6080c9f,25000,20080,0,0
66b832227a9517cab6080ca0,25000,20080,0,0
66b832227a9517cab6080ca2,25000,20081,0,0
66b832227a9517cab6080ca3,25000,20081,0,0
66b832227a9517cab6080ca4,25000,20081,0,0
66b832227a9517cab6080ca7,25000,20083,0,0
66b832227a9517cab6080ca8,25000,20085,0,0
66b832227a9517cab6080ca9,25000,20085,0,0
66b832227a9517cab6080cad,25000,20086,0,0
66b832227a9517cab6080cae,25000,20086,0,0
66b832227a9517cab6080caf,25000,20086,0,0
66b832227a9517cab6080cb3,25000,20087,0,0
66b832227a9517cab6080cb4,25000,20087,0,0
66b832227a9517cab6080cb5,25000,20087,0,0
66b832227a9517cab6080cb6,25000,20087,0,0
66b832227a9517cab6080cb7,25000,20087,0,0
66b832227a9517cab6080cba,25000,20088,0,0
66b832227a9517cab6080cbb,25000,20089,0,0
66b832227a9517cab6080cbc,25000,20089,0,0
66b832227a9517cab6080cbd,25000,20089,0,0
66b832227a9517cab6080cc2,25000,20092,0,0
66b832227a9517cab6080cc3,25000,20092,0,0
66b832227a9517cab6080cc4,25000,20092,0,0
66b832227a9517cab6080cc7,25000,20093,0,0
66b832227a9517cab6080cc8,25000,20094,0,0
66b832227a9517cab6080cc9,25000,20095,0,0
66b832227a9517cab6080cca,25000,20096,0,0
66b832227a9517cab6080ccc,25000,20097,0,0
66b832227a9517cab6080ccd,25000,20097,0,0
66b832227a9517cab6080cce,25000,20097,0,0
66b832227a9517cab6080ccf,25000,20098,0,0
66b832227a9517cab6080cd0,25000,20098,0,0
66b832227a9517cab6080cd1,25000,20098,0,0
66b832227a9517cab6080cd2,25000,20098,0,0
66b832227a9517cab6080cd3,25000,20098,0,0
66b832227a9517cab6080cd4,25000,20099,0,0
66b832227a9517cab6080cd5,25000,20099,0,0
66b832227a9517cab6080cd7,25000,20100,0,0
66b832227a9517cab6080cda,25000,20101,0,0
66b832227a9517cab6080cdb,25000,20101,0,0
66b832227a9517cab6080cdc,25000,20101,0,0
66b832227a9517cab6080cdd,25000,20101,0,0
66b832227a9517cab6080cde,25000,20101,0,0
66b832227a9517cab6080cdf,25000,20101,0,0
66b832227a9517cab6080ce0,25000,20102,0,0
66b832227a9517cab6080ce1,25000,20102,0,0
66b832227a9517cab6080ce2,25000,20102,0,0
66b832227a9517cab6080ce3,25000,20103,0,0
66b832227a9517cab6080ce4,25000,20104,0,0
