_id,Preço da Tabela FIPE,Estimativa de Preço do Site,"Cliente compareceu para a inspeção? (1=Sim, 0=Não)",Preço Oferecido pelo carro,"Cliente Vendeu o carro para a InstaCarro? (1=Sim, 0=Não)"
66b832227a9517cab6080be0,25000,20000,1,20567,1
66b832227a9517cab6080be1,25000,20000,0,,0
66b832227a9517cab6080be2,25000,20000,0,,0
66b832227a9517cab6080be3,25000,20000,0,,0
66b832227a9517cab6080be4,25000,20001,0,,0
66b832227a9517cab6080be5,25000,20001,0,,0
66b832227a9517cab6080be6,25000,20002,0,,0
66b832227a9517cab6080be7,25000,20002,0,,0
66b832227a9517cab6080be8,25000,20003,1,19419,0
66b832227a9517cab6080be9,25000,20003,1,20823,0
66b832227a9517cab6080bea,25000,20003,0,,0
66b832227a9517cab6080beb,25000,20003,0,,0
66b832227a9517cab6080bec,25000,20004,0,,0
66b832227a9517cab6080bed,25000,20004,0,,0
66b832227a9517cab6080bee,25000,20006,1,19553,0
66b832227a9517cab6080bef,25000,20006,0,,0
66b832227a9517cab6080bf0,25000,20006,0,,0
66b832227a9517cab6080bf1,25000,20008,1,20387,1
66b832227a9517cab6080bf2,25000,20008,1,19467,0
66b832227a9517cab6080bf3,25000,20008,0,,0
66b832227a9517cab6080bf4,25000,20009,0,,0
66b832227a9517cab6080bf5,25000,20009,0,,0
66b832227a9517cab6080bf6,25000,20010,1,19475,0
66b832227a9517cab6080bf7,25000,20010,0,,0
66b832227a9517cab6080bf8,25000,20010,0,,0
66b832227a9517cab6080bf9,25000,20012,1,18797,0
66b832227a9517cab6080bfa,25000,20012,0,,0
66b832227a9517cab6080bfb,25000,20012,0,,0
66b832227a9517cab6080bfc,25000,20012,0,,0
66b832227a9517cab6080bfd,25000,20012,0,,0
66b832227a9517cab6080bfe,25000,20013,0,,0
66b832227a9517cab6080bff,25000,20014,1,20221,0
66b832227a9517cab6080c00,25000,20014,0,,0
66b832227a9517cab6080c01,25000,20014,0,,0
66b832227a9517cab6080c02,25000,20015,1,19892,0
66b832227a9517cab6080c03,25000,20015,1,20058,0
66b832227a9517cab6080c04,25000,20015,1,20655,0
66b832227a9517cab6080c05,25000,20015,0,,0
66b832227a9517cab6080c06,25000,20015,0,,0
66b832227a9517cab6080c07,25000,20015,0,,0
66b832227a9517cab6080c08,25000,20016,0,,0
66b832227a9517cab6080c09,25000,20016,0,,0
66b832227a9517cab6080c0a,25000,20016,0,,0
66b832227a9517cab6080c0b,25000,20016,0,,0
66b832227a9517cab6080c0c,25000,20017,1,19219,0
66b832227a9517cab6080c0d,25000,20017,1,19764,0
66b832227a9517cab6080c0e,25000,20017,0,,0
66b832227a9517cab6080c0f,25000,20017,0,,0
66b832227a9517cab6080c10,25000,20017,0,,0
66b832227a9517cab6080c11,25000,20017,0,,0
66b832227a9517cab6080c12,25000,20017,0,,0
66b832227a9517cab6080c13,25000,20018,0,,0
66b832227a9517cab6080c14,25000,20018,0,,0
66b832227a9517cab6080c15,25000,20019,0,,0
66b832227a9517cab6080c16,25000,20019,0,,0
66b832227a9517cab6080c17,25000,20020,1,19001,0
66b832227a9517cab6080c18,25000,20020,1,20765,0
66b832227a9517cab6080c19,25000,20020,0,,0
66b832227a9517cab6080c1a,25000,20021,0,,0
66b832227a9517cab6080c1b,25000,20022,0,,0
66b832227a9517cab6080c1c,25000,20022,0,,0
66b832227a9517cab6080c1d,25000,20023,0,,0
66b832227a9517cab6080c1e,25000,20023,0,,0
66b832227a9517cab6080c1f,25000,20024,1,18942,1
